system:index,Abandonmen,Date,GrazingDur,GrazingPre,GrazingTim,LSU,LandUse,Latitude,LitterCove,Longitude,MowingFreq,MowingPres,PLOTID,b1,b1_asm,b1_corr,b1_ent,b2,b2_asm,b2_corr,b2_ent,region,.geo
lr_20210101-20210107_0,0,2021-01-01,3,1,3,80,grazed meadow,48.94565,0,19.22955,1,1,LR1,0.662866473197937,0.004772727272727256,0.6324533311139605,5.345972456450203,0.06990572810173035,0.004785227272727255,0.42022133739599565,5.344239588498803,LR,"{""type"":""Point"",""coordinates"":[19.229550000000003,48.94565]}"
lr_20210101-20210107_1,1,2021-01-01,0,0,2,0,abandoned,48.88742,100,19.08338,0,0,LR10,0.3165743350982666,0.004772727272727256,0.5561591764171375,5.345972456450203,0.47589340806007385,0.004772727272727256,0.2534179821203734,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.08338,48.88742]}"
lr_20210101-20210107_2,0,2021-01-01,56,1,13,N/A,pasture,48.92675,10,19.22481,0,0,LR100,0.22993887960910797,0.004772727272727256,0.3295018524972061,5.345972456450203,0.327558308839798,0.004772727272727256,0.3867531626458067,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.22481,48.92675]}"
lr_20210101-20210107_3,0,2021-01-01,56,1,13,N/A,pasture,48.92581,4,19.20623,0,0,LR101,0.5764566659927368,0.004772727272727256,0.4976029144139078,5.345972456450203,0.3631119728088379,0.004772727272727256,0.560215936654368,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.20623,48.92581]}"
lr_20210101-20210107_4,0,2021-01-01,56,1,13,N/A,pasture,48.93627,5,19.21818,0,0,LR102,0.22958645224571228,0.004783057851239652,0.4837374846749166,5.34439712194893,0.1658555567264557,0.004772727272727256,0.4202030636489821,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.218180000000004,48.93626999999999]}"
lr_20210101-20210107_5,0,2021-01-01,56,1,13,N/A,grazed meadow,48.92966,1,19.21388,1,1,LR105,0.30533307790756226,0.004772727272727256,0.5314128908040301,5.345972456450203,0.4788849651813507,0.004772727272727256,0.4324952006904319,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.21388,48.92966]}"
lr_20210101-20210107_6,0,2021-01-01,189,1,5,1,pasture,48.9317719,1,19.2099917,0,0,LR106,0.28308433294296265,0.004772727272727256,0.40757762140306103,5.345972456450203,0.24448423087596893,0.004772727272727256,0.5710880358948905,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.2099917,48.9317719]}"
lr_20210101-20210107_7,0,2021-01-01,91,1,2,99,mulched grazed meadow,48.89483,1,19.08648,0,0,LR12,0.17451368272304535,0.004785227272727255,0.39927706003413604,5.344239588498803,0.18745900690555573,0.004772727272727256,0.22226450403492376,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.086479999999998,48.89483]}"
lr_20210101-20210107_8,1,2021-01-01,0,0,2,0,abandoned,48.88992,80,19.08807,0,0,LR13,0.32608944177627563,0.004772727272727256,0.48636399282181286,5.345972456450203,0.45680755376815796,0.004797727272727256,0.39549733949503485,5.342506720547403,LR,"{""type"":""Point"",""coordinates"":[19.08807,48.88991999999998]}"
lr_20210101-20210107_9,0,2021-01-01,91,1,2,99,mulched grazed meadow,48.89742,8,19.08623,0,0,LR14,0.24908436834812164,0.004772727272727256,0.3505929666881258,5.345972456450203,0.46118640899658203,0.004772727272727256,0.48353848245942155,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.08623,48.89741999999999]}"
lr_20210101-20210107_10,0,2021-01-01,70,1,13,110,pasture,48.93328,18,19.17838,0,0,LR15,0.5026969313621521,0.004772727272727256,0.560724059423743,5.345972456450203,0.327607125043869,0.004783057851239653,0.48863491372641205,5.34439712194893,LR,"{""type"":""Point"",""coordinates"":[19.17838,48.93328]}"
lr_20210101-20210107_11,0,2021-01-01,70,1,13,60,grazed meadow,48.93145,0,19.17819,1,1,LR16,0.5525410771369934,0.004772727272727256,0.5808485201074813,5.345972456450203,0.45607617497444153,0.004783057851239653,0.6073886301249276,5.34439712194893,LR,"{""type"":""Point"",""coordinates"":[19.17819,48.93145]}"
lr_20210101-20210107_12,0,2021-01-01,70,1,13,60,grazed meadow,48.92775,0,19.17735,1,1,LR17,0.17497627437114716,0.004772727272727256,0.35154483982186674,5.345972456450203,0.09668290615081787,0.004772727272727256,0.44558822210175936,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.177350000000004,48.92775]}"
lr_20210101-20210107_13,0,2021-01-01,63,1,2,15,pasture,48.87797,10,19.08962,0,0,LR18,0.18227030336856842,0.004772727272727256,0.5902658020459723,5.345972456450203,0.38184481859207153,0.004772727272727256,0.4677389202135142,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.089619999999996,48.877970000000005]}"
lr_20210101-20210107_14,0,2021-01-01,N/A,1,13,N/A,grazed meadow,48.93456,0,19.184653,1,1,LR19,0.231332466006279,0.004772727272727256,0.6459670276246622,5.345972456450203,0.300773024559021,0.004772727272727256,0.3847911622852553,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.184653,48.934560000000005]}"
lr_20210101-20210107_15,0,2021-01-01,91,1,2,80,pasture,48.962678,55,19.186086,0,0,LR2,0.4047571122646332,0.004772727272727256,0.47737416729700866,5.345972456450203,0.3580242693424225,0.004772727272727256,0.29796893894362964,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.186086,48.962678]}"
lr_20210101-20210107_16,1,2021-01-01,0,0,2,0,abandoned,48.87515,90,19.08385,0,0,LR20,0.12508730590343475,0.004772727272727256,0.33216382345171364,5.345972456450203,0.2872946560382843,0.004772727272727256,0.40129795967561,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.08385,48.87515]}"
lr_20210101-20210107_17,0,2021-01-01,91,1,2,15,pasture,48.883,25,19.08613,0,0,LR21,0.28970426321029663,0.004772727272727256,0.3608531021906733,5.345972456450203,0.4546677768230438,0.004772727272727256,0.48491885013198033,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.08613,48.883]}"
lr_20210101-20210107_18,0,2021-01-01,91,1,2,15,pasture,48.8846,8,19.09028,0,0,LR22,0.23852694034576416,0.004772727272727256,0.45793031879490126,5.345972456450203,0.08131717890501022,0.004772727272727256,0.5140889715814372,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.09028,48.8846]}"
lr_20210101-20210107_19,0,2021-01-01,189,1,5,0.8,pasture,48.9180672,2,19.1748465,0,0,LR23,0.36138245463371277,0.004772727272727256,0.4054737006557192,5.345972456450203,0.36292764544487,0.004772727272727256,0.5339903577453081,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.174846500000005,48.91806720000001]}"
lr_20210101-20210107_20,0,2021-01-01,105,1,2,8.6,pasture,48.92181,5,19.16587,0,0,LR24,0.1749928742647171,0.004772727272727256,0.526528115412884,5.345972456450203,0.38970595598220825,0.004772727272727256,0.49120301126050403,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.16587,48.92181000000001]}"
lr_20210101-20210107_21,0,2021-01-01,119,1,5,8.6,pasture,48.91677,1,19.17239,0,0,LR25,0.2968224883079529,0.004772727272727256,0.5590039312037043,5.345972456450203,0.45810776948928833,0.004793388429752049,0.4812273783875768,5.342821787447658,LR,"{""type"":""Point"",""coordinates"":[19.17239,48.91677]}"
lr_20210101-20210107_22,0,2021-01-01,63,1,13,60,pasture,48.92214,2,19.17618,0,0,LR26,0.47142675518989563,0.004772727272727256,0.5534498437184286,5.345972456450203,0.13691231608390808,0.004772727272727256,0.47467075402394787,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.176180000000002,48.92214]}"
lr_20210101-20210107_23,0,2021-01-01,112,1,13,8.6,grazed meadow,48.91946,0,19.17407,1,1,LR27,0.3896303176879883,0.004772727272727256,0.4892463403945405,5.345972456450203,0.3175879120826721,0.004772727272727256,0.5760786327418076,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.174069999999997,48.91946]}"
lr_20210101-20210107_24,0,2021-01-01,112,1,13,8.6,grazed meadow,48.91426,10,19.16851,2,1,LR28,0.27136242389678955,0.004772727272727256,0.44174688532803785,5.345972456450203,0.3779442608356476,0.004785227272727255,0.6293707806031137,5.344239588498803,LR,"{""type"":""Point"",""coordinates"":[19.16851,48.91426]}"
lr_20210101-20210107_25,0,2021-01-01,56,1,1,1.5,grazed meadow,48.9168,1,19.17659,2,1,LR29,0.058723386377096176,0.004793388429752049,0.5338163707092218,5.342821787447658,0.5897413492202759,0.004785227272727255,0.5843788700175658,5.344239588498803,LR,"{""type"":""Point"",""coordinates"":[19.176590000000004,48.9168]}"
lr_20210101-20210107_26,0,2021-01-01,91,1,2,80,pasture,48.967225,70,19.188714,0,0,LR3,0.08329465985298157,0.004772727272727256,0.4888945002066167,5.345972456450203,0.3105994462966919,0.004772727272727256,0.39139349902731024,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.188714,48.967225]}"
lr_20210101-20210107_27,0,2021-01-01,0,0,0,0,meadow,48.929862,1,19.211499,1,1,LR30,0.5848146080970764,0.004772727272727256,0.6822880073770675,5.345972456450203,0.4294189512729645,0.004783057851239652,0.7062403999920804,5.34439712194893,LR,"{""type"":""Point"",""coordinates"":[19.211499,48.929862]}"
lr_20210101-20210107_28,0,2021-01-01,N/A,1,N/A,N/A,grazed meadow,48.93187,4,19.21592,1,1,LR32,0.6152958273887634,0.004772727272727256,0.5416366173463253,5.345972456450203,0.3059121072292328,0.004772727272727256,0.5605571238637801,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.215919999999997,48.93187]}"
lr_20210101-20210107_29,0,2021-01-01,N/A,1,13,N/A,grazed meadow,48.929172,2,19.204013,1,1,LR33,0.3821963369846344,0.004772727272727256,0.618851509873804,5.345972456450203,0.25814348459243774,0.004772727272727256,0.5949574234005661,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.204013000000003,48.92917200000001]}"
lr_20210101-20210107_30,0,2021-01-01,0,0,0,0,meadow,48.94135,50,19.23296,1,1,LR34,0.22412939369678497,0.004772727272727256,0.5133104980052248,5.345972456450203,0.500765323638916,0.004772727272727256,0.41808804618075235,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.23296,48.94135000000001]}"
lr_20210101-20210107_31,0,2021-01-01,N/A,1,13,N/A,pasture,48.93998,30,19.18843,0,0,LR35,0.699921190738678,0.004783057851239652,0.7970340016853391,5.34439712194893,0.5021621584892273,0.004772727272727256,0.6467357970338578,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.18843,48.93998]}"
lr_20210101-20210107_32,0,2021-01-01,N/A,1,13,N/A,pasture,48.933982,17,19.208641,0,0,LR36,0.3635281026363373,0.004772727272727256,0.5359335594119174,5.345972456450203,0.29169782996177673,0.004772727272727256,0.28550139705872996,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.208640999999997,48.93398199999999]}"
lr_20210101-20210107_33,0,2021-01-01,N/A,1,13,N/A,pasture,48.932195,5,19.189106,0,0,LR37,0.335625559091568,0.004772727272727256,0.3514014070827869,5.345972456450203,0.39837175607681274,0.004772727272727256,0.4827916257114586,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.189106,48.932195]}"
lr_20210101-20210107_34,0,2021-01-01,N/A,1,13,N/A,pasture,48.937707,22,19.182709,0,0,LR38,0.37589749693870544,0.004772727272727256,0.36349659788643895,5.345972456450203,0.22798340022563934,0.004772727272727256,0.41210372739694434,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.182709,48.937707]}"
lr_20210101-20210107_35,0,2021-01-01,N/A,1,13,N/A,grazed meadow,48.9417,0,19.19297,1,1,LR39,0.16919192671775818,0.004772727272727256,0.7211596339343341,5.345972456450203,0.24164743721485138,0.004772727272727256,0.554221665998482,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.19297,48.941700000000004]}"
lr_20210101-20210107_36,0,2021-01-01,N/A,1,13,N/A,pasture,48.929713,10,19.161517,0,0,LR41,0.13719919323921204,0.004772727272727256,0.4348543769353752,5.345972456450203,0.2804580628871918,0.004772727272727256,0.340626030749234,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.161517000000003,48.929713]}"
lr_20210101-20210107_37,0,2021-01-01,N/A,1,13,N/A,pasture,48.930892,60,19.151641,0,0,LR42,0.4473433494567871,0.004772727272727256,0.5694551637780971,5.345972456450203,0.1873534619808197,0.004772727272727256,0.6594746363767247,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.151641,48.930892]}"
lr_20210101-20210107_38,0,2021-01-01,N/A,1,N/A,N/A,pasture,48.89495,2,19.15343,0,0,LR43,0.40258634090423584,0.004772727272727256,0.4254470340401005,5.345972456450203,0.09616874158382416,0.004772727272727256,0.47145227727404293,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.153430000000004,48.89495000000001]}"
lr_20210101-20210107_39,0,2021-01-01,105,1,2,N/A,pasture,48.93103,10,19.13342,0,0,LR44,0.5313586592674255,0.004772727272727256,0.6135919364059067,5.345972456450203,0.06650165468454361,0.004772727272727256,0.5458308474344601,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.13342,48.93103]}"
lr_20210101-20210107_40,0,2021-01-01,105,1,2,N/A,pasture,48.929039,4,19.114744,0,0,LR46,0.3037334978580475,0.004772727272727256,0.4643189266175891,5.345972456450203,0.30157729983329773,0.004772727272727256,0.44396328799139556,5.345972456450203,LR,"{""type"":""Point"",""coordinates"":[19.114744,48.929039]}"
