system:index,Abandonmen,Date,GrazingDur,GrazingPre,GrazingTim,LSU,LandUse,Latitude,LitterCove,Longitude,MowingFreq,MowingPres,PLOTID,b1,b1_asm,b1_corr,b1_ent,b2,b2_asm,b2_corr,b2_ent,region,.geo
nb_20210101-20210107_77,0,2021-01-01,210,1,5,36.25,grazed meadow,48.89529,0,17.81145,1,1,NB1,0.8096743226051331,0.004783057851239653,0.7455085320890453,5.34439712194893,0.24550756812095642,0.004772727272727256,0.619159725369166,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.811450000000004,48.89529000000001]}"
nb_20210101-20210107_78,0,2021-01-01,270,1,5,36.25,pasture,48.8858,0.1,17.76126,0,0,NB10,0.6154019236564636,0.004772727272727256,0.6329914029257772,5.345972456450203,0.3606471121311188,0.004772727272727256,0.4886471796404429,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.761260000000004,48.88580000000001]}"
nb_20210101-20210107_79,0,2021-01-01,0,0,0,0,meadow,48.89676,20,17.80877,1,1,NB11,0.3596375286579132,0.004772727272727256,0.6576174100413783,5.345972456450203,0.5409215092658997,0.004772727272727256,0.5454986047477068,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.808770000000003,48.89676]}"
nb_20210101-20210107_80,0,2021-01-01,210,1,5,N/A,grazed meadow,48.876139,40,17.815972,1,1,NB12,0.4531502425670624,0.004772727272727256,0.7720197298621563,5.345972456450203,0.48783981800079346,0.004785227272727255,0.5668855825804183,5.344239588498803,NB,"{""type"":""Point"",""coordinates"":[17.815972,48.876139]}"
nb_20210101-20210107_81,0,2021-01-01,0,0,0,0,meadow,48.882944,75,17.798417,1,1,NB13,0.42395827174186707,0.004783057851239652,0.7494415685438623,5.34439712194893,0.2989877760410309,0.004772727272727256,0.6504456249225044,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.798417,48.882944]}"
nb_20210101-20210107_82,0,2021-01-01,0,0,0,0,meadow,48.87407,2,17.78439,1,1,NB14,0.6727736592292786,0.004772727272727256,0.5760915346526302,5.345972456450203,0.28982147574424744,0.004772727272727256,0.546576465251075,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.78439,48.87407]}"
nb_20210101-20210107_83,0,2021-01-01,0,0,0,0,meadow,48.8983450784,0,17.8097103664,1,1,NB15,0.6758303642272949,0.004772727272727256,0.7532608940545432,5.345972456450203,0.30489540100097656,0.004772727272727256,0.7063391133279441,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.8097103664,48.89834507839999]}"
nb_20210101-20210107_84,0,2021-01-01,210,1,5,5.5,grazed meadow,48.8945,1,17.795007,1,1,NB16,0.7573814988136292,0.004783057851239653,0.6633828127547841,5.34439712194893,0.5172346234321594,0.004772727272727256,0.5439063412826739,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.795006999999995,48.8945]}"
nb_20210101-20210107_85,0,2021-01-01,182,1,5,5.5,grazed meadow,48.89753,7,17.79583,1,1,NB17,0.3581330180168152,0.004772727272727256,0.765268234426175,5.345972456450203,0.22283415496349335,0.004772727272727256,0.7538094701849585,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.79583,48.89753]}"
nb_20210101-20210107_86,0,2021-01-01,112,1,3,6.5,grazed meadow,48.89643,1,17.79541,1,1,NB18,0.567853569984436,0.004772727272727256,0.7327260074542599,5.345972456450203,0.35721978545188904,0.004772727272727256,0.5728430318578468,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.795410000000004,48.89643]}"
nb_20210101-20210107_87,0,2021-01-01,0,0,0,6.5,meadow,48.89492,2,17.80124,1,1,NB19,0.376285582780838,0.004772727272727256,0.6087067060308329,5.345972456450203,0.37165582180023193,0.004772727272727256,0.5354551093627488,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.801240000000004,48.89492]}"
nb_20210101-20210107_88,0,2021-01-01,210,1,5,35.6,pasture,48.89351,2,17.80211,0,0,NB2,0.5421907305717468,0.004772727272727256,0.463125708542926,5.345972456450203,0.29171666502952576,0.004772727272727256,0.6808438266387363,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.80211,48.89351]}"
nb_20210101-20210107_89,0,2021-01-01,182,1,5,35.6,grazed meadow,48.889437,10,17.778662,1,1,NB21,0.5584739446640015,0.004772727272727256,0.6013859945554405,5.345972456450203,0.23894786834716797,0.004785227272727255,0.8156727527219381,5.344239588498803,NB,"{""type"":""Point"",""coordinates"":[17.778661999999997,48.889437]}"
nb_20210101-20210107_90,0,2021-01-01,0,0,0,0,mulched meadow,48.88669,70,17.778662,1,1,NB22,0.28304213285446167,0.004810227272727256,0.7977635234219026,5.340773852596003,0.3431273102760315,0.004772727272727256,0.739197498412705,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.778661999999997,48.88669]}"
nb_20210101-20210107_91,0,2021-01-01,63,1,2,35.6,pasture,48.89017,0,17.80125,0,0,NB23,0.5915586352348328,0.004797727272727256,0.7924852010421108,5.342506720547403,0.5843924283981323,0.004772727272727256,0.7516372603052071,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.80125,48.89017]}"
nb_20210101-20210107_92,0,2021-01-01,0,0,0,0,meadow,48.8935448585,0.5,17.8136142134,1,1,NB24,0.3617890775203705,0.004783057851239652,0.7239278717778004,5.34439712194893,0.31474193930625916,0.004772727272727256,0.6619690887790377,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.813614213399998,48.8935448585]}"
nb_20210101-20210107_93,0,2021-01-01,0,0,0,0,meadow,48.8891,3,17.8112,3,1,NB25,0.5181422233581543,0.004772727272727256,0.7103544409092256,5.345972456450203,0.47968074679374695,0.004785227272727255,0.6985002890438643,5.344239588498803,NB,"{""type"":""Point"",""coordinates"":[17.811199999999996,48.88909999999999]}"
nb_20210101-20210107_94,0,2021-01-01,168,1,5,36.25,pasture,48.9015982971,25,17.8169634912,0,0,NB26,0.4264468848705292,0.004772727272727256,0.7111551735523687,5.345972456450203,0.27017220854759216,0.004772727272727256,0.6808635663746507,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.8169634912,48.9015982971]}"
nb_20210101-20210107_95,0,2021-01-01,0,0,0,0,meadow,48.9035941812,47,17.8136728945,1,1,NB27,0.6664073467254639,0.004772727272727256,0.6686715487054953,5.345972456450203,0.4237467050552368,0.004783057851239652,0.5135292027883014,5.34439712194893,NB,"{""type"":""Point"",""coordinates"":[17.8136728945,48.9035941812]}"
nb_20210101-20210107_96,0,2021-01-01,154,1,23,5.5,grazed meadow,48.8969,0.5,17.7915,1,1,NB28,0.6808218359947205,0.004772727272727256,0.7439039529980176,5.345972456450203,0.4277404844760895,0.004772727272727256,0.7895729136346111,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.7915,48.8969]}"
nb_20210101-20210107_97,0,2021-01-01,154,1,23,5.5,grazed meadow,48.89533,3,17.7962,1,1,NB29,0.45660075545310974,0.004772727272727256,0.6703894647176196,5.345972456450203,0.45825913548469543,0.004772727272727256,0.705280023073753,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.7962,48.89533000000001]}"
nb_20210101-20210107_98,0,2021-01-01,182,1,5,5.5,grazed meadow,48.89499,10,17.79804,1,1,NB30,0.6865233182907104,0.004772727272727256,0.7400237429935532,5.345972456450203,0.6083380579948425,0.004772727272727256,0.7623129283036846,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.798040000000004,48.89499]}"
nb_20210101-20210107_99,0,2021-01-01,0,0,0,0,meadow,48.882472,55,17.797972,1,1,NB31,0.5163877010345459,0.004783057851239652,0.7627959643528006,5.34439712194893,0.24735453724861145,0.004772727272727256,0.5377126903484617,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.797972,48.88247200000001]}"
nb_20210101-20210107_100,0,2021-01-01,0,0,0,0,meadow,48.871639,50,17.813917,1,1,NB32,0.4553811550140381,0.004797727272727256,0.5672106551396083,5.342506720547403,0.29699215292930603,0.004772727272727256,0.7164001519959194,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.813917000000004,48.87163900000001]}"
nb_20210101-20210107_101,0,2021-01-01,0,1,0,0,meadow,48.893444,98,17.794472,1,1,NB33,0.5608822107315063,0.004772727272727256,0.7131543986319492,5.345972456450203,0.4648332893848419,0.004772727272727256,0.5802380820951514,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.794471999999995,48.893444]}"
nb_20210101-20210107_102,1,2021-01-01,0,0,0,0,abandoned,48.882722,80,17.8035,0,0,NB35,0.43593284487724304,0.004772727272727256,0.7637930500593759,5.345972456450203,0.5932101011276245,0.004772727272727256,0.7863667222568085,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.8035,48.88272200000001]}"
nb_20210101-20210107_103,0,2021-01-01,270,1,5,36.25,pasture,48.889028,2,17.7715,0,0,NB38,0.7347075343132019,0.004772727272727256,0.721930657791124,5.345972456450203,0.6185378432273865,0.004785227272727255,0.513503594373067,5.344239588498803,NB,"{""type"":""Point"",""coordinates"":[17.7715,48.88902800000001]}"
nb_20210101-20210107_104,0,2021-01-01,196,1,5,2.0,grazed meadow,48.892263,5,17.803435,1,1,NB39,0.5970747470855713,0.004783057851239653,0.8189074301892842,5.34439712194893,0.19930005073547363,0.004797727272727256,0.6034657789424254,5.342506720547403,NB,"{""type"":""Point"",""coordinates"":[17.803435,48.89226300000001]}"
nb_20210101-20210107_105,0,2021-01-01,270,1,5,1.0,grazed meadow,48.875973,3,17.81422,1,1,NB40,0.7345089912414551,0.004785227272727255,0.6337026325578083,5.344239588498803,0.4759538769721985,0.004772727272727256,0.6618010598095111,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.81422,48.87597300000001]}"
nb_20210101-20210107_106,0,2021-01-01,0,0,0,0,meadow,48.897033,4,17.757667,1,1,NB41,0.5390832424163818,0.004772727272727256,0.7293588259103235,5.345972456450203,0.3164922893047333,0.004772727272727256,0.5580763886495492,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.757667,48.89703300000001]}"
nb_20210101-20210107_107,0,2021-01-01,0,0,0,0,mulched meadow,48.908472,15,17.81875,1,1,NB42,0.6035146117210388,0.004772727272727256,0.8531830669644058,5.345972456450203,0.46407583355903625,0.004785227272727255,0.7811240594810365,5.344239588498803,NB,"{""type"":""Point"",""coordinates"":[17.81875,48.908471999999996]}"
nb_20210101-20210107_108,0,2021-01-01,0,0,0,0,meadow,48.8805,3,17.78625,1,1,NB43,0.6120743155479431,0.004772727272727256,0.7889369278245871,5.345972456450203,0.4894053041934967,0.004772727272727256,0.6972889738790753,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.78625,48.8805]}"
nb_20210101-20210107_109,0,2021-01-01,210,1,5,37.25,grazed meadow,48.881167,3,17.762,1,1,NB44,0.46819478273391724,0.004772727272727256,0.4679713786231659,5.345972456450203,0.20060975849628448,0.004772727272727256,0.4442132426618674,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.762,48.881167]}"
nb_20210101-20210107_110,0,2021-01-01,0,0,0,0,meadow,48.903882,1,17.792327,1,1,NB45,0.27717992663383484,0.004772727272727256,0.7505230009323468,5.345972456450203,0.4516920745372772,0.004772727272727256,0.601257236583774,5.345972456450203,NB,"{""type"":""Point"",""coordinates"":[17.792326999999993,48.903882]}"
