system:index,Abandonmen,Date,GrazingDur,GrazingPre,GrazingTim,LSU,LandUse,Latitude,LitterCove,Longitude,MowingFreq,MowingPres,PLOTID,b1,b1_asm,b1_corr,b1_ent,b2,b2_asm,b2_corr,b2_ent,region,.geo
ns_20210103-20210109_123,0,2021-01-03,0,0,0,0,mulched meadow,49.04165,10,22.50572,0,0,NS1,0.5093936920166016,0.004772727272727256,0.6857759990387717,5.345972456450203,0.6756369471549988,0.004772727272727256,0.5555319107535973,5.345972456450203,NS,"{""type"":""Point"",""coordinates"":[22.505720000000004,49.041650000000004]}"
ns_20210103-20210109_124,1,2021-01-03,0,0,0,0,abandoned,49.04875,80,22.52186,1,1,NS10,0.6294812560081482,0.004772727272727256,0.4998586798617026,5.345972456450203,0.4093748927116394,0.004772727272727256,0.48704388388582587,5.345972456450203,NS,"{""type"":""Point"",""coordinates"":[22.52186,49.04875]}"
ns_20210103-20210109_125,0,2021-01-03,0,0,0,0,meadow,49.0355,65,22.52742,1,1,NS12,0.4025801420211792,0.004772727272727256,0.4569923264284125,5.345972456450203,0.5489429235458374,0.004772727272727256,0.7333756580599773,5.345972456450203,NS,"{""type"":""Point"",""coordinates"":[22.527419999999996,49.0355]}"
ns_20210103-20210109_126,0,2021-01-03,0,0,0,0,meadow,49.0535,70,22.51414,1,1,NS14,0.7113100290298462,0.004793388429752049,0.5154604243519273,5.342821787447657,0.5770182013511658,0.004785227272727255,0.6921223672549618,5.344239588498803,NS,"{""type"":""Point"",""coordinates"":[22.51414,49.05350000000001]}"
ns_20210103-20210109_127,0,2021-01-03,0,0,0,0,meadow,49.03917,3,22.50956,1,1,NS15,0.36175185441970825,0.004772727272727256,0.6683729365185396,5.345972456450203,0.21877269446849823,0.004772727272727256,0.724577612739566,5.345972456450203,NS,"{""type"":""Point"",""coordinates"":[22.50956,49.03917]}"
ns_20210103-20210109_128,0,2021-01-03,0,0,0,0,meadow,49.03861,5,22.52061,2,1,NS16,0.44907641410827637,0.004772727272727256,0.5384819748405666,5.345972456450203,0.24386857450008392,0.004783057851239653,0.6126750305375759,5.34439712194893,NS,"{""type"":""Point"",""coordinates"":[22.520610000000005,49.038610000000006]}"
ns_20210103-20210109_129,0,2021-01-03,0,0,0,0,meadow,49.03409,50,22.52691,1,1,NS18,0.17113271355628967,0.004772727272727256,0.591975137959477,5.345972456450203,0.41346919536590576,0.004772727272727256,0.5471497733930163,5.345972456450203,NS,"{""type"":""Point"",""coordinates"":[22.526909999999997,49.03409]}"
ns_20210103-20210109_130,0,2021-01-03,0,0,0,0,meadow,49.03744,80,22.52364,1,1,NS19,0.5470104217529297,0.004772727272727256,0.6343299671264109,5.345972456450203,0.45018869638442993,0.004772727272727256,0.6084056760661025,5.345972456450203,NS,"{""type"":""Point"",""coordinates"":[22.523640000000004,49.03744]}"
ns_20210103-20210109_131,0,2021-01-03,0,0,0,0,meadow,49.03701,50,22.49948,1,1,NS2,0.41023850440979004,0.004785227272727255,0.687857660875294,5.344239588498803,0.5287379026412964,0.004772727272727256,0.600537976743137,5.345972456450203,NS,"{""type"":""Point"",""coordinates"":[22.499480000000002,49.03701000000001]}"
ns_20210103-20210109_132,0,2021-01-03,0,0,0,0,meadow,49.03688,25,22.50632,1,1,NS20,0.5540010929107666,0.004797727272727256,0.6102123975443694,5.342506720547403,0.14154690504074097,0.004793388429752049,0.6669206025725486,5.342821787447658,NS,"{""type"":""Point"",""coordinates"":[22.50632,49.036880000000004]}"
ns_20210103-20210109_133,0,2021-01-03,0,0,0,0,meadow,49.03503,4,22.50145,1,1,NS21,0.590923547744751,0.004772727272727256,0.5915044684153756,5.345972456450203,0.7031943202018738,0.004772727272727256,0.6630399079944383,5.345972456450203,NS,"{""type"":""Point"",""coordinates"":[22.501450000000002,49.03503]}"
