system:index,Abandonmen,Date,GrazingDur,GrazingPre,GrazingTim,LSU,LandUse,Latitude,LitterCove,Longitude,MowingFreq,MowingPres,Orbit,PLOTID,RND,VH,VH_asm,VH_corr,VH_ent,VV,VV_asm,VV_corr,VV_ent,region,rvi,rvi_asm,rvi_corr,rvi_ent,.geo
S1A_IW_GRDH_1SDV_20220108T163505_20220108T163530_041372_04EB38_93AE_0,0,2022-01-08,3,1,3,80,grazed meadow,48.94565,0,19.22955,1,1,175.0,LR1,-9999,-18.55998993060639,0.004772727272727256,0.5351014612755437,5.345972456450203,-14.587270687997444,0.004772727272727256,0.6480138212118359,5.345972456450203,LR,2.2397012102037333,0.004772727272727256,0.5737034710940586,5.345972456450203,"{""type"":""Point"",""coordinates"":[19.229550000000003,48.94565]}"
S1A_IW_GRDH_1SDV_20220108T163505_20220108T163530_041372_04EB38_93AE_1,1,2022-01-08,0,0,2,0,abandoned,48.88742,100,19.08338,0,0,175.0,LR10,-9999,-27.363308598141934,0.004772727272727256,0.4021435773810487,5.345972456450203,-13.686583154143053,0.004772727272727256,0.5387844166710135,5.345972456450203,LR,2.6663464803527814,0.004772727272727256,0.48779008817561015,5.345972456450203,"{""type"":""Point"",""coordinates"":[19.08338,48.88742]}"
S1A_IW_GRDH_1SDV_20220108T163505_20220108T163530_041372_04EB38_93AE_2,0,2022-01-08,56,1,13,N/A,pasture,48.92675,10,19.22481,0,0,175.0,LR100,-9999,-15.891127325132214,0.004772727272727256,0.5832416592101941,5.345972456450203,-13.169081315890402,0.004772727272727256,0.6521140337912328,5.345972456450203,LR,2.187338366552486,0.004783057851239652,0.5278673117083492,5.34439712194893,"{""type"":""Point"",""coordinates"":[19.22481,48.92675]}"
S1A_IW_GRDH_1SDV_20220108T163505_20220108T163530_041372_04EB38_93AE_3,0,2022-01-08,56,1,13,N/A,pasture,48.92581,4,19.20623,0,0,175.0,LR101,-9999,-21.380182779357412,0.004772727272727256,0.5689856520489794,5.345972456450203,-17.209911406023778,0.004772727272727256,0.723401230784814,5.345972456450203,LR,2.216131702260184,0.004772727272727256,0.5597536805042299,5.345972456450203,"{""type"":""Point"",""coordinates"":[19.20623,48.92581]}"
S1A_IW_GRDH_1SDV_20220108T163505_20220108T163530_041372_04EB38_93AE_4,0,2022-01-08,56,1,13,N/A,pasture,48.93627,5,19.21818,0,0,175.0,LR102,-9999,-19.593785586938647,0.004772727272727256,0.6222262052531975,5.345972456450203,-10.837228079312602,0.004772727272727256,0.5829026533149273,5.345972456450203,LR,2.575502190210462,0.004772727272727256,0.4271848061892569,5.345972456450203,"{""type"":""Point"",""coordinates"":[19.218180000000004,48.93626999999999]}"
S1A_IW_GRDH_1SDV_20220108T163505_20220108T163530_041372_04EB38_93AE_5,0,2022-01-08,56,1,13,N/A,grazed meadow,48.92966,1,19.21388,1,1,175.0,LR105,-9999,-27.006010956292037,0.004772727272727256,0.4930171053572269,5.345972456450203,-16.0850157146352,0.004772727272727256,0.557665347469568,5.345972456450203,LR,2.506880252589806,0.004772727272727256,0.47985255195311965,5.345972456450203,"{""type"":""Point"",""coordinates"":[19.21388,48.92966]}"
S1A_IW_GRDH_1SDV_20220108T163505_20220108T163530_041372_04EB38_93AE_6,0,2022-01-08,189,1,5,1,pasture,48.9317719,1,19.2099917,0,0,175.0,LR106,-9999,-21.607738762824162,0.004772727272727256,0.7917912614396339,5.345972456450203,-11.098276641380462,0.004772727272727256,0.7938592826167952,5.345972456450203,LR,2.642662335448703,0.004772727272727256,0.5152584937749314,5.345972456450203,"{""type"":""Point"",""coordinates"":[19.2099917,48.9317719]}"
S1A_IW_GRDH_1SDV_20220108T163505_20220108T163530_041372_04EB38_93AE_7,0,2022-01-08,91,1,2,99,mulched grazed meadow,48.89483,1,19.08648,0,0,175.0,LR12,-9999,-16.42359312603891,0.0053196668271020325,0.5020788918578616,5.237716564411706,-14.931387932981739,0.0053196668271020325,0.5641928689862412,5.237716564411706,LR,2.0951813806073325,0.0053196668271020325,0.08321370224749841,5.237716564411706,"{""type"":""Point"",""coordinates"":[19.086479999999998,48.89482999999999]}"
S1A_IW_GRDH_1SDV_20220108T163505_20220108T163530_041372_04EB38_93AE_8,1,2022-01-08,0,0,2,0,abandoned,48.88992,80,19.08807,0,0,175.0,LR13,-9999,-20.73473671807808,0.004772727272727256,0.5731164092744967,5.345972456450203,-11.663236870856888,0.004772727272727256,0.6779762026916893,5.345972456450203,LR,2.560004151020076,0.004772727272727256,0.3185360553677249,5.345972456450203,"{""type"":""Point"",""coordinates"":[19.08807,48.88991999999998]}"
S1A_IW_GRDH_1SDV_20220108T163505_20220108T163530_041372_04EB38_93AE_9,0,2022-01-08,91,1,2,99,mulched grazed meadow,48.89742,8,19.08623,0,0,175.0,LR14,-9999,-25.16043638302692,0.004772727272727256,0.27863827514047695,5.345972456450203,-14.285558829985552,0.004772727272727256,0.43069057422096185,5.345972456450203,LR,2.5513805644560823,0.004772727272727256,0.30668568928956935,5.345972456450203,"{""type"":""Point"",""coordinates"":[19.08623,48.89741999999999]}"
S1A_IW_GRDH_1SDV_20220108T163505_20220108T163530_041372_04EB38_93AE_10,0,2022-01-08,70,1,13,110,pasture,48.93328,18,19.17838,0,0,175.0,LR15,-9999,-26.295240541192463,0.004772727272727256,0.49089316663501237,5.345972456450203,-13.597857528226776,0.004772727272727256,0.47717137002928817,5.345972456450203,LR,2.636570415808297,0.004772727272727256,0.40047622695837515,5.345972456450203,"{""type"":""Point"",""coordinates"":[19.17838,48.93328]}"
