system:index,Abandonmen,Date,GrazingDur,GrazingPre,GrazingTim,LSU,LandUse,Latitude,LitterCove,Longitude,MowingFreq,MowingPres,Orbit,PLOTID,RND,VH,VH_asm,VH_corr,VH_ent,VV,VV_asm,VV_corr,VV_ent,region,rvi,rvi_asm,rvi_corr,rvi_ent,.geo
S1A_IW_GRDH_1SDV_20230103T163511_20230103T163536_046622_059670_80D8_77,0,2023-01-03,210,1,5,36.25,grazed meadow,48.89529,0,17.81145,1,1,175.0,NB1,-9999,-15.992723586960143,0.004772727272727256,0.6844837266429891,5.345972456450203,-8.931745502401125,0.004772727272727256,0.5557548950321565,5.345972456450203,NB,2.5665900492598994,0.004772727272727256,0.6214485640748205,5.345972456450203,"{""type"":""Point"",""coordinates"":[17.811450000000004,48.89529000000001]}"
S1A_IW_GRDH_1SDV_20230103T163511_20230103T163536_046622_059670_80D8_78,0,2023-01-03,270,1,5,36.25,pasture,48.8858,0.1,17.76126,0,0,175.0,NB10,-9999,-19.688122125902133,0.004772727272727256,0.5810559225714772,5.345972456450203,-7.5406233226145165,0.004772727272727256,0.6583538072834563,5.345972456450203,NB,2.8922554897915345,0.004772727272727256,0.4523289750514768,5.345972456450203,"{""type"":""Point"",""coordinates"":[17.761260000000004,48.88580000000001]}"
S1A_IW_GRDH_1SDV_20230103T163511_20230103T163536_046622_059670_80D8_79,0,2023-01-03,0,0,0,0,meadow,48.89676,20,17.80877,1,1,175.0,NB11,-9999,-20.81457264387808,0.004772727272727256,0.6863071133340217,5.345972456450203,-10.446787028548295,0.004772727272727256,0.6904991971528303,5.345972456450203,NB,2.6632971645487666,0.004772727272727256,0.5061812929264142,5.345972456450203,"{""type"":""Point"",""coordinates"":[17.808770000000003,48.89676]}"
S1A_IW_GRDH_1SDV_20230103T163511_20230103T163536_046622_059670_80D8_80,0,2023-01-03,210,1,5,N/A,grazed meadow,48.876139,40,17.815972,1,1,175.0,NB12,-9999,-13.763182771470952,0.004772727272727256,0.6175233627977058,5.345972456450203,-11.00266449664333,0.004772727272727256,0.7499409850115017,5.345972456450203,NB,2.2229294435148805,0.004772727272727256,0.6189913258284998,5.345972456450203,"{""type"":""Point"",""coordinates"":[17.815972,48.876139]}"
S1A_IW_GRDH_1SDV_20230103T163511_20230103T163536_046622_059670_80D8_81,0,2023-01-03,0,0,0,0,meadow,48.882944,75,17.798417,1,1,175.0,NB13,-9999,-21.916215428818113,0.004772727272727256,0.557880991082351,5.345972456450203,-9.109196825494232,0.004772727272727256,0.5079726046367433,5.345972456450203,NB,2.825582493366791,0.004772727272727256,0.4224184894675377,5.345972456450203,"{""type"":""Point"",""coordinates"":[17.798417,48.882944]}"
S1A_IW_GRDH_1SDV_20230103T163511_20230103T163536_046622_059670_80D8_82,0,2023-01-03,0,0,0,0,meadow,48.87407,2,17.78439,1,1,175.0,NB14,-9999,-19.12193426619805,0.004772727272727256,0.5405731019084413,5.345972456450203,-10.163248901136239,0.004772727272727256,0.6246172993908234,5.345972456450203,NB,2.6118237549597874,0.004772727272727256,0.4312070459486813,5.345972456450203,"{""type"":""Point"",""coordinates"":[17.78439,48.87407]}"
S1A_IW_GRDH_1SDV_20230103T163511_20230103T163536_046622_059670_80D8_83,0,2023-01-03,0,0,0,0,meadow,48.8983450784,0,17.8097103664,1,1,175.0,NB15,-9999,-17.846731717085817,0.004772727272727256,0.5615579254631974,5.345972456450203,-5.702192410021835,0.004772727272727256,0.6914000442736896,5.345972456450203,NB,3.0314305011568785,0.004772727272727256,0.6788059264621524,5.345972456450203,"{""type"":""Point"",""coordinates"":[17.8097103664,48.89834507839999]}"
S1A_IW_GRDH_1SDV_20230103T163511_20230103T163536_046622_059670_80D8_84,0,2023-01-03,210,1,5,5.5,grazed meadow,48.8945,1,17.795007,1,1,175.0,NB16,-9999,-19.315795975853515,0.004772727272727256,0.5670077312617678,5.345972456450203,-7.9219677978937275,0.004772727272727256,0.5855196828028215,5.345972456450203,NB,2.836619942268651,0.004772727272727256,0.4057726815591095,5.345972456450203,"{""type"":""Point"",""coordinates"":[17.795006999999995,48.8945]}"
S1A_IW_GRDH_1SDV_20230103T163511_20230103T163536_046622_059670_80D8_85,0,2023-01-03,182,1,5,5.5,grazed meadow,48.89753,7,17.79583,1,1,175.0,NB17,-9999,-17.900405520779586,0.004772727272727256,0.46737308234668856,5.345972456450203,-15.466294593846008,0.004772727272727256,0.5512516036756513,5.345972456450203,NB,2.1459006086050825,0.004772727272727256,0.5847082522029532,5.345972456450203,"{""type"":""Point"",""coordinates"":[17.79583,48.89753]}"
S1A_IW_GRDH_1SDV_20230103T163511_20230103T163536_046622_059670_80D8_86,0,2023-01-03,112,1,3,6.5,grazed meadow,48.89643,1,17.79541,1,1,175.0,NB18,-9999,-17.843205778896603,0.004772727272727256,0.6979183527201022,5.345972456450203,-11.639875757854256,0.004772727272727256,0.7256373203567541,5.345972456450203,NB,2.420806082519553,0.004810227272727256,0.4598920957895219,5.340773852596003,"{""type"":""Point"",""coordinates"":[17.795410000000004,48.89643]}"
S1A_IW_GRDH_1SDV_20230103T163511_20230103T163536_046622_059670_80D8_87,0,2023-01-03,0,0,0,6.5,meadow,48.89492,2,17.80124,1,1,175.0,NB19,-9999,-17.591148757907217,0.004772727272727256,0.4758428591506226,5.345972456450203,-8.938745985849964,0.004772727272727256,0.5032256007123468,5.345972456450203,NB,2.6522756954467956,0.004772727272727256,0.4079830362824426,5.345972456450203,"{""type"":""Point"",""coordinates"":[17.801240000000004,48.89492]}"
S1A_IW_GRDH_1SDV_20230103T163511_20230103T163536_046622_059670_80D8_88,0,2023-01-03,210,1,5,35.6,pasture,48.89351,2,17.80211,0,0,175.0,NB2,-9999,-11.066543723466024,0.004772727272727256,0.4947430443222931,5.345972456450203,-15.451981777810511,0.004772727272727256,0.597031224842107,5.345972456450203,NB,1.6692547589696582,0.004772727272727256,0.520450807220078,5.345972456450203,"{""type"":""Point"",""coordinates"":[17.80211,48.89351]}"
S1A_IW_GRDH_1SDV_20230103T163511_20230103T163536_046622_059670_80D8_89,0,2023-01-03,182,1,5,35.6,grazed meadow,48.889437,10,17.778662,1,1,175.0,NB21,-9999,-18.97306546675605,0.004772727272727256,0.6933462579639801,5.345972456450203,-9.72391979035772,0.004772727272727256,0.5606933331992981,5.345972456450203,NB,2.644607480090999,0.004772727272727256,0.6253775666377795,5.345972456450203,"{""type"":""Point"",""coordinates"":[17.778661999999997,48.889437]}"
S1A_IW_GRDH_1SDV_20230103T163511_20230103T163536_046622_059670_80D8_90,0,2023-01-03,0,0,0,0,mulched meadow,48.88669,70,17.778662,1,1,175.0,NB22,-9999,-17.297412668836273,0.004772727272727256,0.623744938185918,5.345972456450203,-8.832703211757478,0.004772727272727256,0.5963875178004819,5.345972456450203,NB,2.6478891632750354,0.004772727272727256,0.630828097323918,5.345972456450203,"{""type"":""Point"",""coordinates"":[17.778661999999997,48.88669]}"
S1A_IW_GRDH_1SDV_20230103T163511_20230103T163536_046622_059670_80D8_91,0,2023-01-03,63,1,2,35.6,pasture,48.89017,0,17.80125,0,0,175.0,NB23,-9999,-23.314110271765642,0.004772727272727256,0.49489849894504423,5.345972456450203,-7.840203688394593,0.004772727272727256,0.5352780415287943,5.345972456450203,NB,2.9933716790014313,0.004772727272727256,0.42456315318107857,5.345972456450203,"{""type"":""Point"",""coordinates"":[17.80125,48.89017]}"
S1A_IW_GRDH_1SDV_20230103T163511_20230103T163536_046622_059670_80D8_92,0,2023-01-03,0,0,0,0,meadow,48.8935448585,0.5,17.8136142134,1,1,175.0,NB24,-9999,-20.362966845044458,0.004772727272727256,0.7538851809872946,5.345972456450203,-8.710912841066444,0.004772727272727256,0.5481280662762487,5.345972456450203,NB,2.801547927540225,0.004772727272727256,0.670186868442018,5.345972456450203,"{""type"":""Point"",""coordinates"":[17.813614213399998,48.8935448585]}"
S1A_IW_GRDH_1SDV_20230103T163511_20230103T163536_046622_059670_80D8_93,0,2023-01-03,0,0,0,0,meadow,48.8891,3,17.8112,3,1,175.0,NB25,-9999,-16.707279052909804,0.004772727272727256,0.6809176255339344,5.345972456450203,-10.140746352446042,0.004772727272727256,0.6011166996593885,5.345972456450203,NB,2.489163176905652,0.004772727272727256,0.4959846410759591,5.345972456450203,"{""type"":""Point"",""coordinates"":[17.811199999999996,48.88909999999999]}"
S1A_IW_GRDH_1SDV_20230103T163511_20230103T163536_046622_059670_80D8_94,0,2023-01-03,168,1,5,36.25,pasture,48.9015982971,25,17.8169634912,0,0,175.0,NB26,-9999,-19.574248802894083,0.004772727272727256,0.7169341416495328,5.345972456450203,-9.136040541908907,0.004772727272727256,0.5598005804835426,5.345972456450203,NB,2.727140582640952,0.004772727272727256,0.5876084078082113,5.345972456450203,"{""type"":""Point"",""coordinates"":[17.8169634912,48.9015982971]}"
