system:index,Abandonmen,Date,GrazingDur,GrazingPre,GrazingTim,LSU,LandUse,Latitude,LitterCove,Longitude,MowingFreq,MowingPres,PLOTID,blue,cs_cdf,doy,evi,green,mask,ndvi,ndvi_asm,ndvi_corr,ndvi_ent,ndvi_texture_sd_3,ndvi_texture_sd_5,nir,re1,re2,re3,red,region,spatial_max,swir1,swir2,system:time_start,.geo
20230104T094411_20230104T094406_T33UYQ_0,0,2023-01-04,3,1,3,80,grazed meadow,48.94565,0,19.22955,1,1,LR1,0.0077,0.9372549019607843,3.0,0.03560785898277691,0.0067,1.0,0.594936728477478,0.004803719008264446,0.5104334704306306,5.341246452946385,1119.71982870441,1038.530291542034,0.0189,0.012700000000000001,0.0233,0.029500000000000002,0.0048000000000000004,LR,0.5663923960118575,0.0159,0.0077,1.67282562266E12,"{""type"":""Point"",""coordinates"":[19.229550000000003,48.94565]}"
20230104T094411_20230104T094406_T33UYQ_1,1,2023-01-04,0,0,2,0,abandoned,48.88742,100,19.08338,0,0,LR10,0.4928,0.9215686274509803,3.0,-0.09367681498829025,0.4772,1.0,-0.027027027681469917,0.004795557851239652,0.9301753924701877,5.34266425399753,885.5502693054126,1109.4349821010676,0.46080000000000004,0.5205000000000001,0.505,0.468,0.4864,LR,0.5663923960118575,0.1164,0.0792,1.67282562266E12,"{""type"":""Point"",""coordinates"":[19.08338,48.88742]}"
20230104T094411_20230104T094406_T33UYQ_2,0,2023-01-04,56,1,13,N/A,pasture,48.92675,10,19.22481,0,0,LR100,0.058,0.9098039215686274,3.0,0.09726668308298449,0.0679,1.0,0.3390558063983917,0.004803719008264446,0.4055242895120243,5.341246452946384,1089.0433922503187,1528.5317986431132,0.062400000000000004,0.0524,0.0536,0.054700000000000006,0.0308,LR,0.5663923960118575,0.007200000000000001,0.0078000000000000005,1.67282562266E12,"{""type"":""Point"",""coordinates"":[19.22481,48.92675]}"
20230104T094411_20230104T094406_T33UYQ_3,0,2023-01-04,56,1,13,N/A,pasture,48.92581,4,19.20623,0,0,LR101,0.06620000000000001,0.9333333333333333,3.0,0.07055102785549204,0.0524,1.0,0.21561338007450104,0.004772727272727256,0.5670848195562741,5.345972456450203,999.294126548136,1144.1941599502381,0.0654,0.0517,0.0724,0.0644,0.0422,LR,0.5663923960118575,0.0438,0.026000000000000002,1.67282562266E12,"{""type"":""Point"",""coordinates"":[19.20623,48.92581]}"
20230104T094411_20230104T094406_T33UYQ_4,0,2023-01-04,56,1,13,N/A,pasture,48.93627,5,19.21818,0,0,LR102,0.0362,0.9333333333333333,3.0,0.2781435154707045,0.0567,1.0,0.5225008726119995,0.004772727272727256,0.8454137602550436,5.345972456450203,1423.715538661805,1439.4534187666004,0.22160000000000002,0.09040000000000001,0.1719,0.188,0.0695,LR,0.5663923960118575,0.1336,0.07440000000000001,1.67282562266E12,"{""type"":""Point"",""coordinates"":[19.218180000000004,48.93626999999999]}"
20230104T094411_20230104T094406_T33UYQ_5,0,2023-01-04,56,1,13,N/A,grazed meadow,48.92966,1,19.21388,1,1,LR105,0.0806,0.9176470588235294,3.0,0.11741194104421683,0.0584,1.0,0.26367461681365967,0.004772727272727256,0.27711472397969383,5.345972456450203,500.9916563511259,572.5178029162964,0.0901,0.066,0.0806,0.07490000000000001,0.052500000000000005,LR,0.5663923960118575,0.027800000000000002,0.0145,1.67282562266E12,"{""type"":""Point"",""coordinates"":[19.21388,48.92966]}"
20230104T094411_20230104T094406_T33UYQ_6,0,2023-01-04,189,1,5,1,pasture,48.9317719,1,19.2099917,0,0,LR106,0.0522,0.9294117647058824,3.0,0.21658986175115214,0.06620000000000001,1.0,0.4290456473827362,0.004772727272727256,0.6068319364944217,5.345972456450203,730.1492113856805,1120.6581712703103,0.17220000000000002,0.1041,0.1378,0.1522,0.0688,LR,0.5663923960118575,0.0795,0.0529,1.67282562266E12,"{""type"":""Point"",""coordinates"":[19.2099917,48.9317719]}"
20230104T094411_20230104T094406_T33UYQ_7,0,2023-01-04,91,1,2,99,mulched grazed meadow,48.89483,1,19.08648,0,0,LR12,0.17700000000000002,0.9294117647058824,3.0,0.13390336371702832,0.20700000000000002,1.0,0.1340872347354889,0.004772727272727256,0.5679363637579788,5.345972456450203,824.4985360215674,994.9659454303356,0.2808,0.3241,0.329,0.318,0.2144,LR,0.5663923960118575,0.1781,0.1255,1.67282562266E12,"{""type"":""Point"",""coordinates"":[19.086479999999998,48.89483]}"
20230104T094411_20230104T094406_T33UYQ_8,1,2023-01-04,0,0,2,0,abandoned,48.88992,80,19.08807,0,0,LR13,0.3672,0.9215686274509803,3.0,0.18148450244698217,0.26,1.0,-0.10607866197824478,0.004783057851239652,0.18761234460317325,5.34439712194893,275.93690766111615,286.07637196193724,0.15,0.185,0.1899,0.166,0.18560000000000001,LR,0.5663923960118575,0.0304,0.0247,1.67282562266E12,"{""type"":""Point"",""coordinates"":[19.08807,48.88991999999998]}"
20230104T094411_20230104T094406_T33UYQ_9,0,2023-01-04,91,1,2,99,mulched grazed meadow,48.89742,8,19.08623,0,0,LR14,0.0864,0.9294117647058824,3.0,0.18642199455323558,0.12340000000000001,1.0,0.2723827660083771,0.004772727272727256,0.25657687569203486,5.345972456450203,694.8570985019935,670.5038647830629,0.2686,0.1804,0.2064,0.2233,0.15360000000000001,LR,0.5663923960118575,0.33490000000000003,0.24860000000000002,1.67282562266E12,"{""type"":""Point"",""coordinates"":[19.08623,48.89741999999999]}"
