system:index,Abandonmen,Date,GrazingDur,GrazingPre,GrazingTim,LSU,LandUse,Latitude,LitterCove,Longitude,MowingFreq,MowingPres,PLOTID,blue,cs_cdf,doy,evi,green,mask,ndvi,ndvi_asm,ndvi_corr,ndvi_ent,ndvi_texture_sd_3,ndvi_texture_sd_5,nir,re1,re2,re3,red,region,spatial_max,swir1,swir2,system:time_start,.geo
20220102T095411_20220102T095409_T33UXQ_77,0,2022-01-02,210,1,5,36.25,grazed meadow,48.89529,0,17.81145,1,1,NB1,0.044700000000000004,0.8745098039215686,1.0,0.4300456933262876,0.1042,1.0,0.5921249985694885,0.004772727272727256,0.6081883223149793,5.345972456450203,191.20484075644808,374.5674218354312,0.372,0.1827,0.31870000000000004,0.34550000000000003,0.09530000000000001,NB,0.6911841428132431,0.2386,0.1391,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.811450000000004,48.89529000000001]}"
20220102T095411_20220102T095409_T33UXQ_78,0,2022-01-02,270,1,5,36.25,pasture,48.8858,0.1,17.76126,0,0,NB10,0.0114,0.9019607843137255,1.0,0.33390362132877105,0.060500000000000005,1.0,0.5754299759864807,0.004793388429752049,0.6285383448435841,5.342821787447658,279.0952942222001,497.7336319660701,0.3206,0.1701,0.24580000000000002,0.2736,0.0864,NB,0.6911841428132431,0.2715,0.1511,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.761260000000004,48.88580000000001]}"
20220102T095411_20220102T095409_T33UXQ_79,0,2022-01-02,0,0,0,0,meadow,48.89676,20,17.80877,1,1,NB11,0.0658,0.8745098039215686,1.0,0.22379774940707473,0.13820000000000002,1.0,0.3236045241355896,0.004793388429752049,0.7744381268856633,5.342821787447658,398.9133668092306,555.1177523807579,0.3628,0.2518,0.2972,0.3216,0.1854,NB,0.6911841428132431,0.3568,0.2189,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.808770000000003,48.89676]}"
20220102T095411_20220102T095409_T33UXQ_80,0,2022-01-02,210,1,5,N/A,grazed meadow,48.876139,40,17.815972,1,1,NB12,0.0258,0.8392156862745098,1.0,0.09510113193542405,0.0298,1.0,0.3838951289653778,0.004803719008264446,0.5401768985480131,5.341246452946385,401.5224359305483,423.9454784894437,0.07390000000000001,0.057100000000000005,0.06670000000000001,0.0693,0.0329,NB,0.6911841428132431,0.0762,0.067,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.815972,48.876139]}"
20220102T095411_20220102T095409_T33UXQ_81,0,2022-01-02,0,0,0,0,meadow,48.882944,75,17.798417,1,1,NB13,0.0752,0.8784313725490196,1.0,0.24203217104605854,0.13620000000000002,1.0,0.3308296203613281,0.004772727272727256,0.7651930258927108,5.345972456450203,674.5915876136718,721.6395461640127,0.38980000000000004,0.2518,0.29410000000000003,0.3255,0.196,NB,0.6911841428132431,0.4297,0.2785,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.798417,48.882944]}"
20220102T095411_20220102T095409_T33UXQ_82,0,2022-01-02,0,0,0,0,meadow,48.87407,2,17.78439,1,1,NB14,1.0E-4,0.8980392156862745,1.0,0.16239773054310735,0.0049,1.0,0.6672297120094299,0.004783057851239652,0.67946364813224,5.34439712194893,1366.3167828217613,1228.360735524423,0.09870000000000001,0.0623,0.0975,0.1199,0.019700000000000002,NB,0.6911841428132431,0.1155,0.0671,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.78439,48.87407]}"
20220102T095411_20220102T095409_T33UXQ_83,0,2022-01-02,0,0,0,0,meadow,48.8983450784,0,17.8097103664,1,1,NB15,0.06860000000000001,0.8745098039215686,1.0,0.30716618399162,0.1072,1.0,0.42661532759666443,0.004772727272727256,0.6190573046040466,5.345972456450203,289.77768123127413,283.4162802739483,0.33340000000000003,0.2038,0.2888,0.313,0.134,NB,0.6911841428132431,0.2998,0.1826,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.8097103664,48.89834507839999]}"
20220102T095411_20220102T095409_T33UXQ_84,0,2022-01-02,210,1,5,5.5,grazed meadow,48.8945,1,17.795007,1,1,NB16,0.024200000000000003,0.8823529411764706,1.0,0.33229813664596275,0.0653,1.0,0.5646438002586365,0.004793388429752049,0.6252281119920511,5.342821787447658,392.0066255846837,552.432502140748,0.29650000000000004,0.1554,0.252,0.27290000000000003,0.0825,NB,0.6911841428132431,0.2554,0.1481,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.795006999999995,48.8945]}"
20220102T095411_20220102T095409_T33UXQ_85,0,2022-01-02,182,1,5,5.5,grazed meadow,48.89753,7,17.79583,1,1,NB17,0.0159,0.8862745098039215,1.0,0.17722274914813646,0.0364,1.0,0.4442976713180542,0.004793388429752049,0.27353060746449814,5.342821787447658,427.8443609162637,380.73084468496853,0.164,0.0761,0.0999,0.1164,0.0631,NB,0.6911841428132431,0.1515,0.0983,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.79583,48.89753]}"
20220102T095411_20220102T095409_T33UXQ_86,0,2022-01-02,112,1,3,6.5,grazed meadow,48.89643,1,17.79541,1,1,NB18,0.0303,0.8823529411764706,1.0,0.3394906901944584,0.0844,1.0,0.5379939079284668,0.004772727272727256,0.5912800439267977,5.345972456450203,406.3765065259404,486.0353636322986,0.3289,0.1678,0.2545,0.2873,0.0988,NB,0.6911841428132431,0.2629,0.1583,1.641117426188E12,"{""type"":""Point"",""coordinates"":[17.795410000000004,48.89643]}"
