system:index,Abandonmen,Date,GrazingDur,GrazingPre,GrazingTim,LSU,LandUse,Latitude,LitterCove,Longitude,MowingFreq,MowingPres,PLOTID,blue,cs_cdf,doy,evi,green,mask,ndvi,ndvi_asm,ndvi_corr,ndvi_ent,ndvi_texture_sd_3,ndvi_texture_sd_5,nir,re1,re2,re3,red,region,spatial_max,swir1,swir2,system:time_start,.geo
20220109T094401_20220109T094357_T34UEV_123,0,2022-01-09,0,0,0,0,mulched meadow,49.04165,10,22.50572,0,0,NS1,0.73,0.803921568627451,8.0,0.3443526170798889,0.684,1.0,0.03526093065738678,0.004797727272727256,0.4758920652970996,5.342506720547403,298.2574743957022,353.83625904835543,0.734,0.7427,0.6975,0.6688000000000001,0.684,NS,0.09086572398310122,0.124,0.1353,1.641721615221E12,"{""type"":""Point"",""coordinates"":[22.505720000000004,49.041650000000004]}"
20220109T094401_20220109T094357_T34UEV_124,1,2022-01-09,0,0,0,0,abandoned,49.04875,80,22.52186,1,1,NS10,0.48400000000000004,0.8,8.0,0.15862377122430732,0.42760000000000004,1.0,0.03156958520412445,0.004783057851239652,0.7971715217770068,5.34439712194893,286.0226033247397,465.0863881099549,0.464,0.49050000000000005,0.4753,0.4758,0.43560000000000004,NS,0.09086572398310122,0.11130000000000001,0.117,1.641721615221E12,"{""type"":""Point"",""coordinates"":[22.52186,49.04875]}"
20220109T094401_20220109T094357_T34UEV_125,0,2022-01-09,0,0,0,0,meadow,49.0355,65,22.52742,1,1,NS12,-9999,-9999,8.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NS,0.09086572398310122,-9999,-9999,1.641721615221E12,"{""type"":""Point"",""coordinates"":[22.527419999999996,49.0355]}"
20220109T094401_20220109T094357_T34UEV_126,0,2022-01-09,0,0,0,0,meadow,49.0535,70,22.51414,1,1,NS14,0.5976,0.8156862745098039,8.0,0.06723283793347484,0.56,1.0,0.013022618368268013,0.004772727272727256,0.8434051086063368,5.345972456450203,466.7632903083837,613.9214902594998,0.5912000000000001,0.6136,0.6016,0.5820000000000001,0.5760000000000001,NS,0.09086572398310122,0.1063,0.11610000000000001,1.641721615221E12,"{""type"":""Point"",""coordinates"":[22.51414,49.05350000000001]}"
20220109T094401_20220109T094357_T34UEV_127,0,2022-01-09,0,0,0,0,meadow,49.03917,3,22.50956,1,1,NS15,-9999,-9999,8.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NS,0.09086572398310122,-9999,-9999,1.641721615221E12,"{""type"":""Point"",""coordinates"":[22.50956,49.03917]}"
20220109T094401_20220109T094357_T34UEV_128,0,2022-01-09,0,0,0,0,meadow,49.03861,5,22.52061,2,1,NS16,-9999,-9999,8.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NS,0.09086572398310122,-9999,-9999,1.641721615221E12,"{""type"":""Point"",""coordinates"":[22.520610000000005,49.038610000000006]}"
20220109T094401_20220109T094357_T34UEV_129,0,2022-01-09,0,0,0,0,meadow,49.03409,50,22.52691,1,1,NS18,-9999,-9999,8.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NS,0.09086572398310122,-9999,-9999,1.641721615221E12,"{""type"":""Point"",""coordinates"":[22.526909999999997,49.03409]}"
20220109T094401_20220109T094357_T34UEV_130,0,2022-01-09,0,0,0,0,meadow,49.03744,80,22.52364,1,1,NS19,-9999,-9999,8.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NS,0.09086572398310122,-9999,-9999,1.641721615221E12,"{""type"":""Point"",""coordinates"":[22.523640000000004,49.03744]}"
20220109T094401_20220109T094357_T34UEV_131,0,2022-01-09,0,0,0,0,meadow,49.03701,50,22.49948,1,1,NS2,0.5016,0.803921568627451,8.0,0.16918208373904578,0.4828,1.0,0.052275292575359344,0.004772727272727256,0.6814416399177147,5.345972456450203,314.2044461586106,339.44638733332033,0.5596,0.5898,0.5977,0.5798,0.504,NS,0.09086572398310122,0.1277,0.1255,1.641721615221E12,"{""type"":""Point"",""coordinates"":[22.499480000000002,49.03701000000001]}"
20220109T094401_20220109T094357_T34UEV_132,0,2022-01-09,0,0,0,0,meadow,49.03688,25,22.50632,1,1,NS20,-9999,-9999,8.0,-9999,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,NS,0.09086572398310122,-9999,-9999,1.641721615221E12,"{""type"":""Point"",""coordinates"":[22.50632,49.036880000000004]}"
